busstop_id,lat,lng
1,-3.695132,-38.586523
4,-3.700149,-38.588281
5,-3.700191,-38.588524
7,-3.699085,-38.580983
8,-3.699245,-38.578015
9,-3.701853,-38.589786
10,-3.702321,-38.590584
11,-3.703413,-38.591677
12,-3.703727,-38.591411
13,-3.704301,-38.591444
14,-3.703444,-38.591445
15,-3.707652,-38.593428
17,-3.706399,-38.590709
18,-3.706945,-38.590789
19,-3.708196,-38.59023
20,-3.7085,-38.590366
21,-3.709181,-38.590003
22,-3.7016,-38.587216
23,-3.701823,-38.583501
24,-3.701785,-38.584212
25,-3.700882,-38.585517
26,-3.701092,-38.585718
27,-3.703822,-38.579906
28,-3.70359,-38.579839
30,-3.702627,-38.582376
31,-3.705291,-38.587965
32,-3.707335,-38.584584
33,-3.707147,-38.584621
34,-3.706325,-38.58601
35,-3.706404,-38.586151
36,-3.709492,-38.580652
37,-3.709347,-38.580638
38,-3.708321,-38.582921
39,-3.708116,-38.582988
40,-3.7077,-38.580824
41,-3.707723,-38.58067
42,-3.706038,-38.580024
43,-3.706019,-38.579845
44,-3.70491,-38.577454
45,-3.704373,-38.578104
46,-3.702692,-38.578412
47,-3.702658,-38.5783
48,-3.701883,-38.578647
49,-3.700689,-38.577397
50,-3.70358,-38.577629
51,-3.703641,-38.576401
52,-3.703493,-38.576422
53,-3.702762,-38.575909
54,-3.702755,-38.575581
55,-3.702053,-38.574072
56,-3.702163,-38.573516
57,-3.70274,-38.572028
59,-3.703232,-38.570698
60,-3.703724,-38.569588
62,-3.705703,-38.575267
63,-3.70504,-38.576712
64,-3.706674,-38.573198
65,-3.706345,-38.573351
66,-3.706001,-38.575078
67,-3.707523,-38.570239
68,-3.707711,-38.570464
73,-3.705594,-38.564606
74,-3.709303,-38.56533
75,-3.709459,-38.565537
76,-3.708842,-38.567373
77,-3.708447,-38.567798
78,-3.70629,-38.563506
79,-3.706002,-38.563888
80,-3.707836,-38.561089
81,-3.705691,-38.561748
82,-3.708091,-38.560486
83,-3.708477,-38.558914
84,-3.708622,-38.558678
85,-3.709257,-38.558361
86,-3.707794,-38.557903
87,-3.707073,-38.558139
88,-3.707068,-38.558366
89,-3.706452,-38.559575
90,-3.706457,-38.55984
91,-3.705793,-38.561262
92,-3.709432,-38.556337
93,-3.709169,-38.556941
96,-3.716029,-38.605952
97,-3.716363,-38.601626
98,-3.715288,-38.605427
102,-3.714326,-38.600762
103,-3.709509,-38.597219
106,-3.711832,-38.599256
107,-3.712155,-38.597812
108,-3.71217,-38.597366
114,-3.710048,-38.595353
116,-3.709963,-38.596526
117,-3.713372,-38.594194
120,-3.715925,-38.597317
122,-3.716222,-38.597425
123,-3.716229,-38.598003
124,-3.715818,-38.598882
125,-3.715358,-38.599983
126,-3.717593,-38.598728
127,-3.717726,-38.595469
128,-3.717126,-38.595445
129,-3.717348,-38.5951
130,-3.717686,-38.594227
131,-3.716558,-38.595129
132,-3.716408,-38.596346
133,-3.71479,-38.594622
135,-3.718107,-38.592436
136,-3.718456,-38.591657
138,-3.711278,-38.589562
139,-3.711346,-38.589393
141,-3.713833,-38.579264
142,-3.714075,-38.579445
144,-3.709835,-38.579267
145,-3.71723,-38.587098
146,-3.715741,-38.586957
147,-3.714443,-38.588767
148,-3.714242,-38.588662
149,-3.717809,-38.587763
150,-3.717262,-38.588112
151,-3.717892,-38.582987
152,-3.718749,-38.582949
153,-3.718009,-38.583253
154,-3.717815,-38.585333
155,-3.71761,-38.586016
159,-3.715569,-38.580311
160,-3.715313,-38.5808
161,-3.715213,-38.58215
162,-3.715739,-38.579633
163,-3.716302,-38.580188
164,-3.716491,-38.580342
165,-3.717827,-38.580759
166,-3.718431,-38.579025
167,-3.718263,-38.580577
170,-3.783207,-38.589394
171,-3.78225,-38.587463
172,-3.782411,-38.585238
173,-3.782263,-38.582832
174,-3.784865,-38.581396
175,-3.78504,-38.581169
176,-3.78406,-38.57962
177,-3.786796,-38.580136
178,-3.787487,-38.579404
179,-3.786925,-38.584112
180,-3.786619,-38.584123
181,-3.788161,-38.585803
182,-3.782296,-38.577249
183,-3.782832,-38.577635
185,-3.784013,-38.575492
186,-3.783288,-38.5718
187,-3.784695,-38.573108
189,-3.786471,-38.574724
190,-3.782871,-38.57151
191,-3.786314,-38.569501
193,-3.788154,-38.576395
194,-3.787978,-38.576115
195,-3.789342,-38.577376
196,-3.789632,-38.577748
197,-3.783474,-38.566007
198,-3.783855,-38.565862
199,-3.785089,-38.565347
200,-3.78613,-38.566811
201,-3.786129,-38.566544
202,-3.785561,-38.563885
203,-3.785291,-38.563522
204,-3.783614,-38.562709
205,-3.783495,-38.562715
206,-3.782193,-38.563287
207,-3.783893,-38.561326
208,-3.785131,-38.561253
209,-3.785782,-38.56154
210,-3.786318,-38.561314
211,-3.783907,-38.560463
212,-3.782624,-38.559416
213,-3.782842,-38.559479
214,-3.783851,-38.557879
215,-3.788013,-38.566883
216,-3.788407,-38.565107
217,-3.789654,-38.564836
218,-3.789177,-38.561106
219,-3.789104,-38.560998
220,-3.791157,-38.561892
221,-3.71114,-38.575562
222,-3.710782,-38.576949
223,-3.710507,-38.577392
224,-3.710074,-38.578847
226,-3.712386,-38.571927
227,-3.712207,-38.572693
228,-3.711743,-38.573814
229,-3.711547,-38.574702
230,-3.713337,-38.56944
231,-3.713102,-38.569806
232,-3.716666,-38.57751
233,-3.716525,-38.57757
234,-3.717096,-38.576037
235,-3.717295,-38.57572
236,-3.717412,-38.574293
237,-3.716969,-38.574037
238,-3.715303,-38.573496
239,-3.715182,-38.573366
240,-3.715147,-38.57162
241,-3.715304,-38.571406
242,-3.717136,-38.570307
243,-3.718274,-38.570199
244,-3.710451,-38.561778
245,-3.710142,-38.562187
246,-3.710037,-38.563748
247,-3.713815,-38.56419
248,-3.71261,-38.559355
249,-3.71139,-38.558876
250,-3.71142,-38.558279
251,-3.711194,-38.558529
252,-3.710626,-38.558731
253,-3.710814,-38.560458
254,-3.71051,-38.560712
255,-3.718129,-38.566141
256,-3.717825,-38.565958
