lat,lng,quantidade_lentidao
-3.8034,-38.5392,484
-3.7783,-38.5682,724
-3.8026,-38.5019,269
-3.8034,-38.5391,290
-3.7783,-38.5683,817
-3.7781,-38.5686,454
-3.7202,-38.5424,529
-3.8023,-38.5021,288
-3.8021,-38.5007,187
-3.7201,-38.5431,410
-3.7445,-38.5461,1930
-3.7797,-38.5722,309
-3.72,-38.5426,456
-3.8064,-38.469,494
-3.7781,-38.5685,863
-3.8022,-38.5017,314
-3.8022,-38.5009,371
-3.7438,-38.5464,208
-3.8037,-38.5388,1300
-3.778,-38.5686,407
-3.7782,-38.5685,937
-3.8318,-38.5632,907
-3.8023,-38.5007,355
-3.8024,-38.5009,607
-3.8405,-38.4956,200
-3.72,-38.5424,550
-3.8404,-38.4954,297
-3.778,-38.5685,482
-3.7804,-38.5699,362
-3.8408,-38.4951,673
-3.7438,-38.546,269
-3.8025,-38.5015,344
-3.7534,-38.5522,211
-3.8053,-38.4695,245
-3.8018,-38.5008,289
-3.7782,-38.5686,842
-3.8021,-38.5015,351
-3.8042,-38.5384,462
-3.802,-38.5012,914
-3.8322,-38.5633,237
-3.7801,-38.5703,868
-3.8027,-38.502,237
-3.8066,-38.469,252
-3.802,-38.5009,241
-3.8024,-38.5024,296
-3.7202,-38.5422,268
-3.8059,-38.4685,371
-3.8036,-38.5387,459
-3.7074,-38.5909,207
-3.7439,-38.5463,290
-3.7078,-38.5908,199
-3.7076,-38.5909,215
-3.7204,-38.5422,395
-3.8068,-38.4686,504
-3.8021,-38.5012,206
-3.8318,-38.5635,485
-3.7802,-38.5715,279
-3.7203,-38.542,456
-3.7202,-38.5431,460
-3.7798,-38.5701,729
-3.7204,-38.5425,328
-3.8404,-38.4956,223
-3.8058,-38.4689,153
-3.8404,-38.4957,315
-3.7202,-38.542,1152
-3.7202,-38.5421,490
-3.8403,-38.4951,432
-3.7787,-38.5667,522
-3.7199,-38.5423,652
-3.7802,-38.5714,236
-3.7799,-38.5719,403
-3.804,-38.5383,545
-3.8027,-38.5017,618
-3.7791,-38.5674,304
-3.8319,-38.5635,217
-3.7443,-38.5458,699
-3.7444,-38.5462,1274
-3.7781,-38.5687,487
-3.8022,-38.5019,295
-3.7779,-38.5683,287
-3.7797,-38.5703,462
-3.7782,-38.5684,419
-3.8043,-38.5392,543
-3.8043,-38.5393,169
-3.7784,-38.5666,116
-3.8047,-38.5389,173
-3.8222,-38.6214,164
-3.804,-38.5385,236
-3.7801,-38.5701,340
-3.779,-38.5674,454
-3.8226,-38.6214,271
-3.7203,-38.5431,643
-3.8022,-38.5014,279
-3.7205,-38.542,324
-3.8226,-38.6217,482
-3.7079,-38.5921,201
-3.7782,-38.5683,737
-3.8036,-38.5382,592
-3.7802,-38.5716,295
-3.7199,-38.5428,405
-3.7437,-38.546,342
-3.7199,-38.5421,981
-3.7797,-38.5723,236
-3.8056,-38.4684,192
-3.8036,-38.5392,125
-3.7075,-38.5906,181
-3.7532,-38.5519,244
-3.7783,-38.5685,456
-3.8054,-38.4696,143
-3.7535,-38.5521,193
-3.8037,-38.5383,270
-3.8055,-38.4687,281
-3.7779,-38.5684,429
-3.8062,-38.4684,1137
-3.802,-38.5013,222
-3.8022,-38.502,199
-3.8059,-38.4686,121
-3.7802,-38.5717,198
-3.8044,-38.5392,828
-3.8066,-38.4691,227
-3.8038,-38.5388,759
-3.7801,-38.5716,331
-3.8036,-38.5383,467
-3.8226,-38.6213,205
-3.832,-38.5636,448
-3.8062,-38.4688,363
-3.72,-38.542,547
-3.8055,-38.4686,273
-3.8039,-38.5385,433
-3.8044,-38.5394,335
-3.8044,-38.5393,361
-3.7804,-38.5703,377
-3.8067,-38.4691,349
-3.8041,-38.5384,173
-3.8022,-38.5008,1123
-3.8405,-38.4954,769
-3.7804,-38.5704,275
-3.8227,-38.6215,439
-3.8228,-38.6214,214
-3.8055,-38.4693,188
-3.7798,-38.5721,336
-3.8024,-38.5011,113
-3.7252,-38.5573,369
-3.807,-38.469,407
-3.8022,-38.5007,1564
-3.8068,-38.4689,629
-3.7205,-38.5421,219
-3.7803,-38.5705,303
-3.8043,-38.5384,415
-3.78,-38.5721,200
-3.7444,-38.5457,840
-3.7804,-38.5705,295
-3.8025,-38.5012,219
-3.8045,-38.5387,458
-3.8037,-38.5382,354
-3.7251,-38.5573,188
-3.7801,-38.5702,484
-3.8046,-38.5388,534
-3.8027,-38.5021,236
-3.8321,-38.5636,126
-3.8332,-38.5639,572
-3.7203,-38.543,445
-3.7802,-38.5702,849
-3.8053,-38.4694,184
-3.8055,-38.4692,145
-3.822,-38.6217,560
-3.7246,-38.5576,192
-3.8038,-38.5389,1074
-3.8406,-38.4958,153
-3.7785,-38.5684,190
-3.78,-38.5717,314
-3.8059,-38.4683,151
-3.8044,-38.5384,396
-3.7202,-38.5419,277
-3.8028,-38.502,513
-3.7803,-38.5715,174
-3.8326,-38.5639,873
-3.8404,-38.4955,268
-3.7198,-38.5428,380
-3.7537,-38.5516,227
-3.7204,-38.5421,328
-3.7204,-38.5424,474
-3.8046,-38.5395,88
-3.8063,-38.469,238
-3.8066,-38.4685,460
-3.72,-38.5427,357
-3.7202,-38.5423,387
-3.7201,-38.542,324
-3.7248,-38.5573,106
-3.7534,-38.552,408
-3.8321,-38.5633,172
-3.8324,-38.5639,250
-3.7804,-38.5701,218
-3.8058,-38.4683,252
-3.7533,-38.5521,168
-3.7077,-38.5909,144
-3.8055,-38.4688,198
-3.778,-38.5684,418
-3.7244,-38.5576,209
-3.7077,-38.5906,276
-3.8331,-38.5638,550
-3.7078,-38.5923,229
-3.8055,-38.4685,115
-3.8069,-38.4692,245
-3.8408,-38.4948,841
-3.7803,-38.5713,174
-3.8032,-38.5027,189
-3.8053,-38.4693,79
-3.7247,-38.5573,145
-3.7201,-38.5423,353
-3.7801,-38.5718,290
-3.8024,-38.5008,411
-3.7202,-38.5426,333
-3.7197,-38.5425,169
-3.7248,-38.5575,218
-3.7446,-38.5458,305
-3.8039,-38.5386,616
-3.8019,-38.5012,158
-3.8317,-38.5635,602
-3.7788,-38.567,139
-3.8039,-38.5383,249
-3.8039,-38.5384,428
-3.8061,-38.4683,642
-3.8405,-38.4957,165
-3.78,-38.5718,364
-3.8404,-38.4953,261
-3.7806,-38.5706,235
-3.8404,-38.495,1404
-3.804,-38.5384,175
-3.8069,-38.4689,288
-3.8069,-38.4691,149
-3.8058,-38.4685,337
-3.7252,-38.5576,213
-3.7807,-38.5709,232
-3.8319,-38.5632,269
-3.7447,-38.5457,302
-3.8048,-38.5389,167
-3.78,-38.5719,304
-3.72,-38.5431,562
-3.8047,-38.5388,289
-3.7079,-38.5906,233
-3.7245,-38.5577,136
-3.7079,-38.5922,151
-3.8041,-38.5383,233
-3.72,-38.5423,461
-3.8061,-38.4687,188
-3.7791,-38.5668,404
-3.8071,-38.469,372
-3.8332,-38.5638,321
-3.8066,-38.4689,637
-3.8041,-38.5385,122
-3.7204,-38.5419,204
-3.8058,-38.4696,244
-3.832,-38.5635,598
-3.8318,-38.5636,201
-3.7798,-38.5723,266
-3.806,-38.4686,342
-3.7249,-38.5577,227
-3.78,-38.5703,899
-3.7801,-38.5717,305
-3.8048,-38.5391,234
-3.8224,-38.6217,146
-3.8326,-38.564,1035
-3.7438,-38.5461,288
-3.7799,-38.5721,198
-3.7786,-38.5666,350
-3.7779,-38.5685,782
-3.8068,-38.4691,355
-3.8019,-38.5008,159
-3.7246,-38.5574,140
-3.8019,-38.5009,148
-3.8049,-38.539,119
-3.7203,-38.5424,260
-3.84,-38.4951,133
-3.807,-38.4689,295
-3.7076,-38.5918,93
-3.7204,-38.542,380
-3.7803,-38.5699,203
-3.8224,-38.6212,154
-3.8025,-38.5025,306
-3.7784,-38.5684,261
-3.7787,-38.567,119
-3.7798,-38.57,120
-3.7203,-38.5425,265
-3.7788,-38.5669,176
-3.7203,-38.5426,263
-3.7442,-38.5459,720
-3.8035,-38.5387,428
-3.8038,-38.5384,573
-3.8046,-38.5394,193
-3.7798,-38.5705,255
-3.8323,-38.5638,130
-3.8403,-38.4953,86
-3.8023,-38.5016,144
-3.8035,-38.5381,194
-3.7802,-38.5719,48
-3.8402,-38.4951,129
-3.7784,-38.5685,240
-3.7798,-38.5724,187
-3.7254,-38.5576,349
-3.8044,-38.5391,237
-3.8067,-38.4688,477
-3.8408,-38.4952,555
-3.7077,-38.5913,616
-3.8025,-38.5026,240
-3.7806,-38.571,363
-3.7806,-38.5702,252
-3.8067,-38.4685,542
-3.7254,-38.5573,381
-3.8024,-38.5025,206
-3.8019,-38.5011,190
-3.8036,-38.5391,447
-3.7439,-38.5464,267
-3.8069,-38.4687,172
-3.8408,-38.495,335
-3.7806,-38.5709,494
-3.725,-38.5575,208
-3.7076,-38.5907,287
-3.7204,-38.5426,374
-3.8025,-38.5018,164
-3.7076,-38.5906,298
-3.7806,-38.5703,473
-3.8405,-38.4953,207
-3.8026,-38.5018,273
-3.807,-38.4692,377
-3.8046,-38.5393,215
-3.8062,-38.4686,768
-3.7791,-38.5675,356
-3.8024,-38.5022,162
-3.8046,-38.5392,125
-3.7775,-38.5687,334
-3.7438,-38.5463,78
-3.8022,-38.5018,167
-3.7078,-38.5906,301
-3.7801,-38.5719,245
-3.7797,-38.5725,143
-3.8072,-38.4692,336
-3.8057,-38.4688,225
-3.7796,-38.5726,121
-3.7201,-38.5421,255
-3.8026,-38.502,119
-3.8038,-38.5382,341
-3.8037,-38.5387,423
-3.8039,-38.5388,238
-3.7252,-38.5605,181
-3.8403,-38.4957,189
-3.8323,-38.5639,471
-3.7073,-38.5912,87
-3.7795,-38.5672,108
-3.8023,-38.5014,107
-3.8223,-38.6214,345
-3.8325,-38.5639,224
-3.7199,-38.5427,509
-3.7072,-38.5913,363
-3.7776,-38.5686,395
-3.7439,-38.5461,262
-3.7784,-38.5665,246
-3.8037,-38.5384,345
-3.8046,-38.5389,477
-3.8067,-38.4689,697
-3.806,-38.4683,989
-3.7442,-38.5456,364
-3.7447,-38.5458,587
-3.7532,-38.552,77
-3.7778,-38.5685,314
-3.8047,-38.5395,129
-3.778,-38.5683,350
-3.8024,-38.5026,98
-3.8054,-38.4695,111
-3.7776,-38.5685,152
-3.8058,-38.4688,161
-3.7778,-38.5682,102
-3.7783,-38.5686,170
-3.8062,-38.469,128
-3.7801,-38.5704,401
-3.8046,-38.5387,209
-3.7798,-38.5704,479
-3.8025,-38.5011,219
-3.8028,-38.5021,273
-3.8036,-38.5388,234
-3.7078,-38.5922,148
-3.78,-38.5702,656
-3.725,-38.5573,156
-3.806,-38.4685,212
-3.7778,-38.5684,309
